"MEMBER_FOLLOWING_ID"	"MY_MEMBER_ID"	"YOUR_MEMBER_ID"	"FOLLOW_DATETIME"
"1"	"1"	"2"	"2006-12-24 23:59:59.000"
"2"	"1"	"3"	"2007-11-11 16:16:16.000"
"3"	"1"	"4"	"2006-12-23 22:56:29.000"
"4"	"1"	"5"	"2007-11-01 02:13:00.000"
"5"	"1"	"6"	"2012-05-24 23:12:59.000"
"6"	"1"	"9"	"2005-11-11 16:32:01.000"
"7"	"1"	"15"	"2006-01-28 23:59:59.000"
"8"	"1"	"18"	"2007-11-09 16:23:00.000"
"9"	"2"	"1"	"2009-12-22 23:59:59.000"
"10"	"2"	"3"	"2007-11-11 09:01:00.000"
"11"	"2"	"4"	"2006-11-23 23:59:59.000"
"12"	"2"	"9"	"2012-11-15 12:43:00.000"
"13"	"2"	"14"	"2006-12-24 23:59:59.000"
"14"	"2"	"19"	"2011-04-01 16:23:01.000"
"15"	"3"	"1"	"2006-12-24 23:59:20.000"
"16"	"3"	"2"	"2008-05-01 12:23:02.000"
"17"	"3"	"4"	"2006-12-24 23:59:21.000"
"18"	"3"	"6"	"2009-06-11 17:23:03.000"
"19"	"3"	"9"	"2010-12-24 23:59:22.000"
"20"	"3"	"10"	"2007-11-01 16:12:04.000"
"21"	"4"	"1"	"2006-12-24 23:59:23.000"
"22"	"4"	"2"	"2007-11-01 16:23:05.000"
"23"	"4"	"3"	"2011-12-24 23:59:24.000"
"24"	"4"	"4"	"2007-11-01 16:23:06.000"
"25"	"4"	"5"	"2013-05-24 11:59:25.000"
"26"	"4"	"6"	"2007-06-21 01:23:57.000"
"27"	"4"	"9"	"2006-12-24 23:59:26.000"
"28"	"4"	"11"	"2007-11-01 16:23:08.000"
"29"	"4"	"12"	"2013-02-24 23:59:27.000"
"30"	"4"	"13"	"2012-11-01 16:23:03.000"
"31"	"4"	"14"	"2006-07-24 23:59:28.000"
"32"	"4"	"15"	"2007-11-01 17:23:10.000"
"33"	"4"	"16"	"2007-11-01 16:23:10.000"
"34"	"4"	"17"	"2006-07-24 23:59:29.000"
"35"	"4"	"18"	"2011-11-01 17:23:11.000"
"36"	"4"	"19"	"2007-11-01 16:23:11.000"
"37"	"5"	"1"	"2008-07-24 23:59:30.000"
"38"	"5"	"3"	"2007-11-01 17:23:12.000"
"39"	"5"	"6"	"2007-11-01 16:23:12.000"
